write_fact_A,query_B,expected_output_A
Kendaraan sehari-hari Nita adalah mobil Daihatsu berwarna Biru.,Apa merek dan warna mobil Nita?,Daihatsu berwarna Biru
Rio Santoso bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Rio Santoso?,Tentara
Kode rahasia untuk User_767 adalah 645438.,Apa kode rahasia untuk User_767?,645438
Rina memiliki peliharaan Ayam yang diberi nama Leo.,Siapa nama Ayam peliharaan Rina?,Leo
Kode rahasia untuk User_418 adalah 928902.,Apa kode rahasia untuk User_418?,928902
Kendaraan sehari-hari Dian adalah mobil BMW berwarna Putih.,Apa merek dan warna mobil Dian?,BMW berwarna Putih
Kode rahasia untuk User_760 adalah 975336.,Apa kode rahasia untuk User_760?,975336
Kendaraan sehari-hari Ayu adalah mobil BMW berwarna Biru.,Apa merek dan warna mobil Ayu?,BMW berwarna Biru
Maya memiliki peliharaan Kucing yang diberi nama Coco.,Siapa nama Kucing peliharaan Maya?,Coco
Eko Nasution lahir dan dibesarkan di kota Mataram.,Di mana Eko Nasution lahir dan dibesarkan?,Mataram
Kendaraan sehari-hari Rini adalah mobil Kia berwarna Oranye.,Apa merek dan warna mobil Rini?,Kia berwarna Oranye
Nina Wibowo lahir dan dibesarkan di kota Denpasar.,Di mana Nina Wibowo lahir dan dibesarkan?,Denpasar
Sari memiliki peliharaan Bebek yang diberi nama Leo.,Siapa nama Bebek peliharaan Sari?,Leo
Bayu memiliki peliharaan Kelinci yang diberi nama Charlie.,Siapa nama Kelinci peliharaan Bayu?,Charlie
Aris Siregar bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Aris Siregar?,Koki
Dewi Purnama lahir dan dibesarkan di kota Pekanbaru.,Di mana Dewi Purnama lahir dan dibesarkan?,Pekanbaru
Nita baru saja membeli mobil Toyota yang warnanya Hitam.,Apa warna mobil Toyota yang dibeli Nita?,Hitam
"Nama lengkap orang ini adalah Andi Nugroho, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Andi Nugroho
Rina Kusuma lahir dan dibesarkan di kota Medan.,Di mana Rina Kusuma lahir dan dibesarkan?,Medan
Mega Halim lahir dan dibesarkan di kota Makassar.,Di mana Mega Halim lahir dan dibesarkan?,Makassar
Bayu baru saja membeli mobil Mercedes-Benz yang warnanya Merah Muda.,Apa warna mobil Mercedes-Benz yang dibeli Bayu?,Merah Muda
Kendaraan sehari-hari Sari adalah mobil BMW berwarna Kuning.,Apa merek dan warna mobil Sari?,BMW berwarna Kuning
Kode rahasia untuk User_342 adalah 456169.,Apa kode rahasia untuk User_342?,456169
Wati Kusuma lahir dan dibesarkan di kota Palembang.,Di mana Wati Kusuma lahir dan dibesarkan?,Palembang
Aris baru saja membeli mobil Hyundai yang warnanya Cokelat.,Apa warna mobil Hyundai yang dibeli Aris?,Cokelat
Eko memiliki peliharaan Bebek yang diberi nama Mochi.,Siapa nama Bebek peliharaan Eko?,Mochi
Eko memiliki peliharaan Hamster yang diberi nama Luna.,Siapa nama Hamster peliharaan Eko?,Luna
Budi memiliki peliharaan Musang yang diberi nama Luna.,Siapa nama Musang peliharaan Budi?,Luna
"Nama lengkap orang ini adalah Putri Nugroho, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Putri Nugroho
Kendaraan sehari-hari Fitri adalah mobil BMW berwarna Hitam.,Apa merek dan warna mobil Fitri?,BMW berwarna Hitam
Kode rahasia untuk User_172 adalah 506766.,Apa kode rahasia untuk User_172?,506766
Kendaraan sehari-hari Hadi adalah mobil Mercedes-Benz berwarna Ungu.,Apa merek dan warna mobil Hadi?,Mercedes-Benz berwarna Ungu
Iwan Hidayat bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Iwan Hidayat?,Seniman
Kode rahasia untuk User_704 adalah 543601.,Apa kode rahasia untuk User_704?,543601
"Nama lengkap orang ini adalah Hendra Rahman, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Hendra Rahman
Kode rahasia untuk User_702 adalah 456814.,Apa kode rahasia untuk User_702?,456814
Bayu memiliki peliharaan Anjing yang diberi nama Simba.,Siapa nama Anjing peliharaan Bayu?,Simba
Hadi memiliki peliharaan Bebek yang diberi nama Oyen.,Siapa nama Bebek peliharaan Hadi?,Oyen
Siti Halim bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Siti Halim?,Aktor
"Nama lengkap orang ini adalah Siti Hidayat, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Siti Hidayat
Kendaraan sehari-hari Bayu adalah mobil Mercedes-Benz berwarna Perak.,Apa merek dan warna mobil Bayu?,Mercedes-Benz berwarna Perak
Eko memiliki peliharaan Bebek yang diberi nama Leo.,Siapa nama Bebek peliharaan Eko?,Leo
Fitri baru saja membeli mobil BMW yang warnanya Biru.,Apa warna mobil BMW yang dibeli Fitri?,Biru
Aris Siregar lahir dan dibesarkan di kota Pekanbaru.,Di mana Aris Siregar lahir dan dibesarkan?,Pekanbaru
Joko memiliki peliharaan Kura-kura yang diberi nama Chico.,Siapa nama Kura-kura peliharaan Joko?,Chico
"Nama lengkap orang ini adalah Maya Saputra, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Maya Saputra
Fitri Simanjuntak bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Fitri Simanjuntak?,Atlet
Lia Saputra bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Lia Saputra?,Atlet
"Nama lengkap orang ini adalah Mega Setiawan, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Mega Setiawan
Kode rahasia untuk User_772 adalah 596528.,Apa kode rahasia untuk User_772?,596528
Kode rahasia untuk User_625 adalah 991447.,Apa kode rahasia untuk User_625?,991447
"Nama lengkap orang ini adalah Dian Rahman, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Dian Rahman
Rudi Purnama bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Rudi Purnama?,Dokter
Andi Simanjuntak lahir dan dibesarkan di kota Jakarta.,Di mana Andi Simanjuntak lahir dan dibesarkan?,Jakarta
"Nama lengkap orang ini adalah Iwan Hidayat, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Iwan Hidayat
Kendaraan sehari-hari Fitri adalah mobil Kia berwarna Merah Muda.,Apa merek dan warna mobil Fitri?,Kia berwarna Merah Muda
Tono memiliki peliharaan Ikan yang diberi nama Leo.,Siapa nama Ikan peliharaan Tono?,Leo
Kode rahasia untuk User_596 adalah 515610.,Apa kode rahasia untuk User_596?,515610
Mega baru saja membeli mobil Hyundai yang warnanya Merah.,Apa warna mobil Hyundai yang dibeli Mega?,Merah
Kendaraan sehari-hari Iwan adalah mobil Toyota berwarna Merah Muda.,Apa merek dan warna mobil Iwan?,Toyota berwarna Merah Muda
Mega Wijaya lahir dan dibesarkan di kota Pontianak.,Di mana Mega Wijaya lahir dan dibesarkan?,Pontianak
Kode rahasia untuk User_110 adalah 274283.,Apa kode rahasia untuk User_110?,274283
Putri Wijaya lahir dan dibesarkan di kota Denpasar.,Di mana Putri Wijaya lahir dan dibesarkan?,Denpasar
Kendaraan sehari-hari Hadi adalah mobil Hyundai berwarna Ungu.,Apa merek dan warna mobil Hadi?,Hyundai berwarna Ungu
Agus baru saja membeli mobil Daihatsu yang warnanya Abu-abu.,Apa warna mobil Daihatsu yang dibeli Agus?,Abu-abu
Aris memiliki peliharaan Ayam yang diberi nama Molly.,Siapa nama Ayam peliharaan Aris?,Molly
Siti memiliki peliharaan Hamster yang diberi nama Daisy.,Siapa nama Hamster peliharaan Siti?,Daisy
Lia memiliki peliharaan Musang yang diberi nama Charlie.,Siapa nama Musang peliharaan Lia?,Charlie
Kode rahasia untuk User_309 adalah 569989.,Apa kode rahasia untuk User_309?,569989
"Nama lengkap orang ini adalah Tono Nugroho, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Tono Nugroho
Kode rahasia untuk User_891 adalah 418832.,Apa kode rahasia untuk User_891?,418832
Putri memiliki peliharaan Kura-kura yang diberi nama Charlie.,Siapa nama Kura-kura peliharaan Putri?,Charlie
Bayu Halim bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Bayu Halim?,Nelayan
Dewi Gunawan bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Dewi Gunawan?,Koki
Kendaraan sehari-hari Budi adalah mobil Honda berwarna Abu-abu.,Apa merek dan warna mobil Budi?,Honda berwarna Abu-abu
Sari Wibowo bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Sari Wibowo?,Tentara
"Nama lengkap orang ini adalah Bayu Santoso, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Bayu Santoso
Kendaraan sehari-hari Dian adalah mobil Mazda berwarna Perak.,Apa merek dan warna mobil Dian?,Mazda berwarna Perak
Dian memiliki peliharaan Hamster yang diberi nama Nemo.,Siapa nama Hamster peliharaan Dian?,Nemo
Kendaraan sehari-hari Putri adalah mobil Hyundai berwarna Hijau.,Apa merek dan warna mobil Putri?,Hyundai berwarna Hijau
Eko Setiawan lahir dan dibesarkan di kota Bandung.,Di mana Eko Setiawan lahir dan dibesarkan?,Bandung
Kendaraan sehari-hari Hendra adalah mobil Mitsubishi berwarna Merah.,Apa merek dan warna mobil Hendra?,Mitsubishi berwarna Merah
Maya Wijaya lahir dan dibesarkan di kota Jakarta.,Di mana Maya Wijaya lahir dan dibesarkan?,Jakarta
"Nama lengkap orang ini adalah Tono Wibowo, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Tono Wibowo
Rini memiliki peliharaan Anjing yang diberi nama Coco.,Siapa nama Anjing peliharaan Rini?,Coco
Kode rahasia untuk User_468 adalah 802573.,Apa kode rahasia untuk User_468?,802573
Kode rahasia untuk User_236 adalah 310807.,Apa kode rahasia untuk User_236?,310807
Dewi Putra lahir dan dibesarkan di kota Pontianak.,Di mana Dewi Putra lahir dan dibesarkan?,Pontianak
Kendaraan sehari-hari Dedy adalah mobil Mitsubishi berwarna Oranye.,Apa merek dan warna mobil Dedy?,Mitsubishi berwarna Oranye
Lia memiliki peliharaan Ikan yang diberi nama Bella.,Siapa nama Ikan peliharaan Lia?,Bella
Hendra Hidayat bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Hendra Hidayat?,Nelayan
Rini memiliki peliharaan Bebek yang diberi nama Chico.,Siapa nama Bebek peliharaan Rini?,Chico
Nita Hidayat lahir dan dibesarkan di kota Bandung.,Di mana Nita Hidayat lahir dan dibesarkan?,Bandung
"Nama lengkap orang ini adalah Rudi Suryono, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Rudi Suryono
Joko Simanjuntak lahir dan dibesarkan di kota Manado.,Di mana Joko Simanjuntak lahir dan dibesarkan?,Manado
Kode rahasia untuk User_175 adalah 422417.,Apa kode rahasia untuk User_175?,422417
Mega Siregar bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Mega Siregar?,Petani
"Nama lengkap orang ini adalah Rina Hidayat, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Rina Hidayat
Kendaraan sehari-hari Rio adalah mobil Chevrolet berwarna Merah Muda.,Apa merek dan warna mobil Rio?,Chevrolet berwarna Merah Muda
Kode rahasia untuk User_947 adalah 469359.,Apa kode rahasia untuk User_947?,469359
Dedy Purnama bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Dedy Purnama?,Seniman
Dewi Wibowo bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Dewi Wibowo?,Arsitek
Kode rahasia untuk User_542 adalah 831388.,Apa kode rahasia untuk User_542?,831388
Rio Saputra lahir dan dibesarkan di kota Denpasar.,Di mana Rio Saputra lahir dan dibesarkan?,Denpasar
Tono Hidayat bekerja sebagai seorang Pramugari profesional.,Apa pekerjaan dari Tono Hidayat?,Pramugari
Wati baru saja membeli mobil Daihatsu yang warnanya Ungu.,Apa warna mobil Daihatsu yang dibeli Wati?,Ungu
"Nama lengkap orang ini adalah Siti Rahman, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Siti Rahman
Joko baru saja membeli mobil Mitsubishi yang warnanya Merah.,Apa warna mobil Mitsubishi yang dibeli Joko?,Merah
Kode rahasia untuk User_472 adalah 176176.,Apa kode rahasia untuk User_472?,176176
Hadi Wijaya bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Hadi Wijaya?,Dokter
Kendaraan sehari-hari Fitri adalah mobil Lexus berwarna Cokelat.,Apa merek dan warna mobil Fitri?,Lexus berwarna Cokelat
Rina Siregar lahir dan dibesarkan di kota Pontianak.,Di mana Rina Siregar lahir dan dibesarkan?,Pontianak
Kode rahasia untuk User_234 adalah 993780.,Apa kode rahasia untuk User_234?,993780
Kode rahasia untuk User_627 adalah 855971.,Apa kode rahasia untuk User_627?,855971
"Nama lengkap orang ini adalah Dewi Putra, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Dewi Putra
Kendaraan sehari-hari Iwan adalah mobil Mazda berwarna Abu-abu.,Apa merek dan warna mobil Iwan?,Mazda berwarna Abu-abu
Rio Wibowo bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Rio Wibowo?,Penyanyi
Nita Setiawan bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Nita Setiawan?,Pengusaha
Kendaraan sehari-hari Tono adalah mobil Mercedes-Benz berwarna Oranye.,Apa merek dan warna mobil Tono?,Mercedes-Benz berwarna Oranye
Aris Wijaya bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Aris Wijaya?,Pengusaha
Bayu memiliki peliharaan Musang yang diberi nama Oyen.,Siapa nama Musang peliharaan Bayu?,Oyen
"Nama lengkap orang ini adalah Doni Hidayat, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Doni Hidayat
Rio Wijaya lahir dan dibesarkan di kota Manado.,Di mana Rio Wijaya lahir dan dibesarkan?,Manado
Agus Setiawan bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Agus Setiawan?,Aktor
Aris Hidayat lahir dan dibesarkan di kota Pontianak.,Di mana Aris Hidayat lahir dan dibesarkan?,Pontianak
Ayu baru saja membeli mobil BMW yang warnanya Merah.,Apa warna mobil BMW yang dibeli Ayu?,Merah
Eko Hidayat lahir dan dibesarkan di kota Semarang.,Di mana Eko Hidayat lahir dan dibesarkan?,Semarang
Sari Hidayat lahir dan dibesarkan di kota Semarang.,Di mana Sari Hidayat lahir dan dibesarkan?,Semarang
Budi memiliki peliharaan Bebek yang diberi nama Luna.,Siapa nama Bebek peliharaan Budi?,Luna
Siti baru saja membeli mobil Toyota yang warnanya Abu-abu.,Apa warna mobil Toyota yang dibeli Siti?,Abu-abu
Sari Pratama lahir dan dibesarkan di kota Medan.,Di mana Sari Pratama lahir dan dibesarkan?,Medan
Andi Gunawan bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Andi Gunawan?,Nelayan
Lia memiliki peliharaan Anjing yang diberi nama Oyen.,Siapa nama Anjing peliharaan Lia?,Oyen
Kendaraan sehari-hari Bayu adalah mobil Mercedes-Benz berwarna Putih.,Apa merek dan warna mobil Bayu?,Mercedes-Benz berwarna Putih
Maya Kusuma bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Maya Kusuma?,Insinyur
Kode rahasia untuk User_529 adalah 242868.,Apa kode rahasia untuk User_529?,242868
Kode rahasia untuk User_446 adalah 686893.,Apa kode rahasia untuk User_446?,686893
Kode rahasia untuk User_154 adalah 388472.,Apa kode rahasia untuk User_154?,388472
"Nama lengkap orang ini adalah Nita Kusuma, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Nita Kusuma
"Nama lengkap orang ini adalah Eko Hidayat, dan dia berasal dari Makassar.",Siapa nama lengkap orang yang berasal dari Makassar ini?,Eko Hidayat
Andi memiliki peliharaan Bebek yang diberi nama Daisy.,Siapa nama Bebek peliharaan Andi?,Daisy
Tono memiliki peliharaan Ayam yang diberi nama Max.,Siapa nama Ayam peliharaan Tono?,Max
Fitri baru saja membeli mobil Suzuki yang warnanya Abu-abu.,Apa warna mobil Suzuki yang dibeli Fitri?,Abu-abu
Eko memiliki peliharaan Burung yang diberi nama Rocky.,Siapa nama Burung peliharaan Eko?,Rocky
Kendaraan sehari-hari Mega adalah mobil Lexus berwarna Merah.,Apa merek dan warna mobil Mega?,Lexus berwarna Merah
Kode rahasia untuk User_438 adalah 240972.,Apa kode rahasia untuk User_438?,240972
Mega Saputra lahir dan dibesarkan di kota Denpasar.,Di mana Mega Saputra lahir dan dibesarkan?,Denpasar
Kode rahasia untuk User_284 adalah 167202.,Apa kode rahasia untuk User_284?,167202
Doni baru saja membeli mobil Mercedes-Benz yang warnanya Hitam.,Apa warna mobil Mercedes-Benz yang dibeli Doni?,Hitam
"Nama lengkap orang ini adalah Rudi Purnama, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Rudi Purnama
"Nama lengkap orang ini adalah Siti Suryono, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Siti Suryono
Kode rahasia untuk User_644 adalah 965968.,Apa kode rahasia untuk User_644?,965968
"Nama lengkap orang ini adalah Putri Wijaya, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Putri Wijaya
Kendaraan sehari-hari Joko adalah mobil Daihatsu berwarna Merah Muda.,Apa merek dan warna mobil Joko?,Daihatsu berwarna Merah Muda
Rina Nugroho bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Rina Nugroho?,Wartawan
Wati memiliki peliharaan Burung yang diberi nama Chico.,Siapa nama Burung peliharaan Wati?,Chico
Putri memiliki peliharaan Anjing yang diberi nama Rocky.,Siapa nama Anjing peliharaan Putri?,Rocky
Doni Halim lahir dan dibesarkan di kota Surabaya.,Di mana Doni Halim lahir dan dibesarkan?,Surabaya
"Nama lengkap orang ini adalah Dedy Suryono, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Dedy Suryono
Ayu Hidayat bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Ayu Hidayat?,Tentara
"Nama lengkap orang ini adalah Aris Purnama, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Aris Purnama
Agus Setiawan lahir dan dibesarkan di kota Pontianak.,Di mana Agus Setiawan lahir dan dibesarkan?,Pontianak
Kode rahasia untuk User_149 adalah 168957.,Apa kode rahasia untuk User_149?,168957
Ayu Hidayat bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Ayu Hidayat?,Wartawan
Kendaraan sehari-hari Aris adalah mobil Lexus berwarna Kuning.,Apa merek dan warna mobil Aris?,Lexus berwarna Kuning
Kode rahasia untuk User_683 adalah 286291.,Apa kode rahasia untuk User_683?,286291
Kendaraan sehari-hari Lia adalah mobil Mitsubishi berwarna Oranye.,Apa merek dan warna mobil Lia?,Mitsubishi berwarna Oranye
Kode rahasia untuk User_245 adalah 260187.,Apa kode rahasia untuk User_245?,260187
Tono baru saja membeli mobil Hyundai yang warnanya Emas.,Apa warna mobil Hyundai yang dibeli Tono?,Emas
Rina Nasution bekerja sebagai seorang Pramugari profesional.,Apa pekerjaan dari Rina Nasution?,Pramugari
Kendaraan sehari-hari Rudi adalah mobil Audi berwarna Cokelat.,Apa merek dan warna mobil Rudi?,Audi berwarna Cokelat
Rudi Hidayat bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Rudi Hidayat?,Penulis
Kode rahasia untuk User_339 adalah 488968.,Apa kode rahasia untuk User_339?,488968
Joko baru saja membeli mobil Honda yang warnanya Perak.,Apa warna mobil Honda yang dibeli Joko?,Perak
Nita Halim bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Nita Halim?,Pilot
Doni Kusuma lahir dan dibesarkan di kota Medan.,Di mana Doni Kusuma lahir dan dibesarkan?,Medan
Kendaraan sehari-hari Agus adalah mobil Toyota berwarna Kuning.,Apa merek dan warna mobil Agus?,Toyota berwarna Kuning
Eko Hidayat bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Eko Hidayat?,Polisi
